ts_ms,id,dlc,b0,b1,b2,b3,b4,b5,b6,b7
1232895,280,8,70,99,149,48,11,232,16,2
1232925,280,8,26,103,149,48,11,200,0,2
1232965,280,8,220,106,149,48,11,200,192,1
1232995,2047,8,4,153,22,28,106,170,188,16
1233035,280,8,179,97,149,48,11,200,160,1
1233095,280,8,215,103,149,48,9,200,192,1
1233105,2047,8,5,18,32,161,64,4,128,82
1233105,1021,8,1,0,6,0,0,8,18,128
1233125,280,8,218,107,149,48,8,200,192,1
1233155,280,8,220,109,149,48,8,200,192,1
1233195,280,8,128,97,149,48,8,200,112,1
1233205,2047,8,6,88,55,91,7,176,204,200
1233205,280,8,162,99,149,48,8,200,144,1
1233215,280,8,84,101,149,48,8,200,64,1
1233235,280,8,85,102,149,48,8,200,64,1
1233245,280,8,118,103,149,48,8,200,96,1
1233265,280,8,56,105,149,48,8,200,32,1
1233275,280,8,57,106,149,48,8,200,32,1
1233285,280,8,74,107,149,48,8,200,48,1
1233295,2047,8,7,38,0,133,32,68,35,112
1233305,280,8,28,109,149,48,8,200,0,1
1233315,280,8,252,110,149,48,8,200,224,0
1233315,280,8,13,111,149,48,8,200,240,0
1233345,280,8,32,97,149,48,8,200,16,1
1233405,2047,8,8,128,68,0,144,98,20,48
1233405,280,8,229,103,149,48,8,200,208,0
1233425,280,8,231,105,149,48,8,200,208,0
1233435,280,8,249,106,149,48,9,200,224,0
1233445,280,8,250,107,149,48,9,200,224,0
1233465,280,8,156,109,149,48,9,200,128,0
1233485,280,8,156,110,149,48,8,200,128,0
1233505,2047,8,9,239,128,64,130,128,0,0
1233505,280,8,240,97,149,48,9,200,224,0
1233515,280,8,241,98,149,48,9,200,224,0
1233525,280,8,194,99,149,48,9,200,176,0
1233535,280,8,211,100,149,48,9,200,192,0
1233545,1021,8,0,0,0,60,32,0,0,128
1233545,280,8,212,101,149,48,9,200,192,0
1233565,280,8,214,103,149,48,9,200,192,0
1233585,280,8,200,105,149,48,9,200,176,0
1233595,2047,8,1,165,78,67,67,165,84,1
1233595,280,8,217,106,149,48,9,200,192,0
1233615,280,8,235,108,149,48,9,200,208,0
1233626,280,8,204,109,149,48,9,200,176,0
1233655,280,8,238,111,149,48,9,200,208,0
1233665,280,8,223,96,149,48,9,200,208,0
1233675,280,8,208,97,149,48,9,200,192,0
1233685,280,8,210,99,149,48,9,200,192,0
1233695,2047,8,2,71,86,109,142,81,207,39
1233695,280,8,229,101,149,48,10,200,208,0
1233705,280,8,230,102,149,48,10,200,208,0
1233715,280,8,215,103,149,48,10,200,192,0
1233735,280,8,184,104,149,48,10,200,160,0
1233745,280,8,217,105,149,48,10,200,192,0
1233765,280,8,219,107,149,48,10,200,192,0
1233785,280,8,204,108,149,48,10,200,176,0
1233785,280,8,253,109,149,48,10,200,224,0
1233795,280,8,32,111,149,48,10,200,0,1
1233805,280,8,240,96,149,48,10,200,224,0
1233825,280,8,193,97,149,48,10,200,176,0
1233855,280,8,3,99,149,48,10,200,240,0
1233865,280,8,213,101,149,48,10,200,192,0
1233885,280,8,231,103,149,48,10,200,208,0
1233905,2047,8,4,153,22,28,106,170,188,16
1233915,280,8,233,105,149,48,10,200,208,0
1233925,280,8,234,106,149,48,10,200,208,0
1233935,280,8,235,107,149,48,10,200,208,0
1233975,280,8,207,111,149,48,10,200,176,0
1233995,280,8,225,97,149,48,10,200,208,0
1234005,280,8,195,99,149,48,10,200,176,0
1234025,280,8,229,101,149,48,10,200,208,0
1234045,280,8,230,102,149,48,10,200,208,0
1234065,280,8,248,104,149,48,10,200,224,0
1234065,280,8,233,105,149,48,10,200,208,0
1234085,280,8,219,107,149,48,10,200,192,0
1234105,280,8,235,108,149,48,9,200,208,0
1234105,2047,8,6,88,55,91,7,176,204,200
1234105,1021,8,1,0,6,0,0,8,18,128
1234115,280,8,252,110,149,48,8,200,224,0
1234125,280,8,45,111,149,48,7,200,16,1
1234135,280,8,28,96,149,48,5,200,16,1
1234145,280,8,248,97,149,48,1,200,240,0
1234145,1021,8,2,0,0,0,0,0,0,144
1234165,280,8,201,99,149,48,0,200,192,0
1234185,280,8,202,100,149,48,0,200,192,0
1234185,280,8,219,101,149,48,0,200,208,0
1234195,2047,8,7,38,0,133,32,68,35,112
1234205,280,8,221,103,149,48,0,200,208,0
1234215,280,8,190,104,149,48,0,200,176,0
1234225,280,8,175,105,149,48,0,200,160,0
1234245,280,8,225,107,149,48,0,200,208,0
1234255,280,8,202,108,149,48,0,200,184,0
1234295,280,8,125,111,149,48,0,200,104,0
1234315,280,8,95,97,149,48,0,200,88,0
1234325,280,8,81,99,149,48,0,200,72,0
1234345,280,8,35,101,149,48,0,200,24,0
1234375,280,8,21,103,149,48,0,200,8,0
1234415,280,8,232,107,149,48,0,200,216,255
1234435,280,8,202,109,149,48,0,200,184,255
1234445,280,8,204,111,149,48,0,200,184,255
1234465,280,8,158,97,149,48,0,200,152,255
1234475,280,8,159,98,149,48,0,200,152,255
1234485,280,8,144,99,149,48,0,200,136,255
1234495,2047,8,1,165,78,67,67,165,84,1
1234495,280,8,178,101,149,48,0,200,168,255
1234515,280,8,179,102,149,48,0,200,168,255
1234525,280,8,132,103,149,48,0,200,120,255
1234555,280,8,102,105,149,48,0,200,88,255
1234595,280,8,122,109,149,48,0,200,104,255
1234625,280,8,109,96,149,48,0,200,104,255
1234625,280,8,78,97,149,48,0,200,72,255
1234665,280,8,81,100,149,48,0,200,72,255
1234705,2047,8,3,51,12,141,225,32,39,52
1234705,280,8,70,105,149,48,0,200,56,255
1234735,280,8,41,108,149,48,0,200,24,255
1234745,280,8,26,109,149,48,0,200,8,255
1234755,280,8,11,111,149,48,0,200,248,254
1234775,280,8,252,96,149,48,0,200,248,254
1234785,280,8,253,97,149,48,0,200,248,254
1234805,280,8,16,99,149,48,0,200,8,255
1234825,280,8,0,100,149,48,0,200,248,254
